FDR	ID	Symbol	EntrezGeneName	Location	Type
2.32E-02	PDE9A	PDE9A	phosphodiesterase 9A	Cytoplasm	enzyme
2.42E-02	N4BP2	N4BP2	NEDD4 binding protein 2	Cytoplasm	enzyme
2.47E-02	FA2H	FA2H	fatty acid 2-hydroxylase	Cytoplasm	enzyme
2.66E-02	FTL	FTL	ferritin light chain	Cytoplasm	enzyme
2.68E-02	ERCC1	ERCC1	"ERCC excision repair 1, endonuclease non-catalytic subunit"	Nucleus	enzyme
2.68E-02	GNG4	GNG4	G protein subunit gamma 4	Plasma Membrane	enzyme
2.79E-02	HS3ST1	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1	Cytoplasm	enzyme
2.80E-02	GATC	GATC	glutamyl-tRNA amidotransferase subunit C	Nucleus	enzyme
2.83E-02	MYO1C	MYO1C	myosin IC	Cytoplasm	enzyme
2.89E-02	PRIM2	PRIM2	DNA primase subunit 2	Nucleus	enzyme
2.91E-02	UBE2L3	UBE2L3	ubiquitin conjugating enzyme E2 L3	Nucleus	enzyme
3.11E-02	RNF217	RNF217	ring finger protein 217	Cytoplasm	enzyme
3.21E-02	LMO7	LMO7	LIM domain 7	Cytoplasm	enzyme
3.25E-02	ALDH1A3	ALDH1A3	aldehyde dehydrogenase 1 family member A3	Cytoplasm	enzyme
3.83E-02	B3GNT2	B3GNT2	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2"	Cytoplasm	enzyme
4.01E-02	LDHA	LDHA	lactate dehydrogenase A	Cytoplasm	enzyme
4.01E-02	MSH3	MSH3	mutS homolog 3	Nucleus	enzyme
4.14E-02	DPYD	DPYD	dihydropyrimidine dehydrogenase	Cytoplasm	enzyme
4.56E-02	DNAH5	DNAH5	dynein axonemal heavy chain 5	Cytoplasm	enzyme
4.90E-02	MBOAT2	MBOAT2	membrane bound O-acyltransferase domain containing 2	Cytoplasm	enzyme
3.30E-04	ADGRF1	ADGRF1	adhesion G protein-coupled receptor F1	Plasma Membrane	G-protein coupled receptor
4.93E-03	HRH1	HRH1	histamine receptor H1	Plasma Membrane	G-protein coupled receptor
1.39E-02	OMG	OMG	oligodendrocyte myelin glycoprotein	Plasma Membrane	G-protein coupled receptor
4.47E-02	GPRC5A	GPRC5A	G protein-coupled receptor class C group 5 member A	Plasma Membrane	G-protein coupled receptor
1.45E-07	CTGF	CTGF	connective tissue growth factor	Extracellular Space	growth factor
3.04E-03	BDNF	BDNF	brain derived neurotrophic factor	Extracellular Space	growth factor
3.75E-03	GDNF	GDNF	glial cell derived neurotrophic factor	Extracellular Space	growth factor
2.39E-02	KITLG	KITLG	KIT ligand	Extracellular Space	growth factor
5.82E-06	ANO1	ANO1	anoctamin 1	Plasma Membrane	ion channel
1.46E-05	TMC1	TMC1	transmembrane channel like 1	Plasma Membrane	ion channel
8.64E-03	TRPV4	TRPV4	transient receptor potential cation channel subfamily V member 4	Plasma Membrane	ion channel
9.69E-03	VDAC3	VDAC3	voltage dependent anion channel 3	Cytoplasm	ion channel
2.94E-02	LRRC8A	LRRC8A	leucine rich repeat containing 8 VRAC subunit A	Plasma Membrane	ion channel
3.05E-02	KCNK1	KCNK1	potassium two pore domain channel subfamily K member 1	Plasma Membrane	ion channel
3.54E-02	ABCC9	ABCC9	ATP binding cassette subfamily C member 9	Plasma Membrane	ion channel
4.32E-02	CLCA4	CLCA4	chloride channel accessory 4	Plasma Membrane	ion channel
1.53E-23	SGK1	SGK1	serum/glucocorticoid regulated kinase 1	Cytoplasm	kinase
1.00E-14	CAMK1D	CAMK1D	calcium/calmodulin dependent protein kinase ID	Cytoplasm	kinase
2.42E-07	BMPR1B	BMPR1B	bone morphogenetic protein receptor type 1B	Plasma Membrane	kinase
1.75E-06	ERBB4	ERBB4	erb-b2 receptor tyrosine kinase 4	Plasma Membrane	kinase
2.51E-06	LYN	LYN	"LYN proto-oncogene, Src family tyrosine kinase"	Cytoplasm	kinase
5.15E-06	INSR	INSR	insulin receptor	Plasma Membrane	kinase
6.21E-06	GNE	GNE	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	Cytoplasm	kinase
7.60E-06	MAGI3	MAGI3	"membrane associated guanylate kinase, WW and PDZ domain containing 3"	Cytoplasm	kinase
5.90E-05	MET	MET	"MET proto-oncogene, receptor tyrosine kinase"	Plasma Membrane	kinase
9.16E-05	CAMK2D	CAMK2D	calcium/calmodulin dependent protein kinase II delta	Cytoplasm	kinase
6.55E-04	CHKA	CHKA	choline kinase alpha	Cytoplasm	kinase
7.44E-04	PRKD1	PRKD1	protein kinase D1	Cytoplasm	kinase
7.64E-04	TRIO	TRIO	trio Rho guanine nucleotide exchange factor	Cytoplasm	kinase
1.18E-03	DGKA	DGKA	diacylglycerol kinase alpha	Cytoplasm	kinase
5.00E-03	DAPK3	DAPK3	death associated protein kinase 3	Cytoplasm	kinase
5.15E-03	STK17A	STK17A	serine/threonine kinase 17a	Nucleus	kinase
7.29E-03	HK1	HK1	hexokinase 1	Cytoplasm	kinase
7.40E-03	MAP3K5	MAP3K5	mitogen-activated protein kinase kinase kinase 5	Cytoplasm	kinase
1.20E-02	STK38L	STK38L	serine/threonine kinase 38 like	Cytoplasm	kinase
1.25E-02	CPNE3	CPNE3	copine 3	Cytoplasm	kinase
1.39E-02	CDK19	CDK19	cyclin dependent kinase 19	Nucleus	kinase
1.51E-02	STK39	STK39	serine/threonine kinase 39	Nucleus	kinase
1.55E-02	AKT2	AKT2	AKT serine/threonine kinase 2	Cytoplasm	kinase
1.73E-02	OXSR1	OXSR1	oxidative stress responsive 1	Nucleus	kinase
2.06E-02	IKBKE	IKBKE	inhibitor of nuclear factor kappa B kinase subunit epsilon	Cytoplasm	kinase
2.19E-02	DLG1	DLG1	discs large MAGUK scaffold protein 1	Plasma Membrane	kinase
2.53E-02	CDK14	CDK14	cyclin dependent kinase 14	Nucleus	kinase
2.69E-02	GALK2	GALK2	galactokinase 2	Cytoplasm	kinase
2.80E-02	MLKL	MLKL	mixed lineage kinase domain like pseudokinase	Cytoplasm	kinase
3.27E-02	STK3	STK3	serine/threonine kinase 3	Cytoplasm	kinase
3.58E-02	PELI2	PELI2	pellino E3 ubiquitin protein ligase family member 2	Cytoplasm	kinase
3.84E-02	WEE1	WEE1	WEE1 G2 checkpoint kinase	Nucleus	kinase
4.96E-02	MAP3K14	MAP3K14	mitogen-activated protein kinase kinase kinase 14	Cytoplasm	kinase
1.08E-04	ESRRG	ESRRG	estrogen related receptor gamma	Nucleus	ligand-dependent nuclear receptor
3.56E-34	CAPN14	CAPN14	calpain 14	Other	other
1.53E-23	NEAT1	NEAT1	nuclear paraspeckle assembly transcript 1	Other	other
2.51E-22	FCGBP	FCGBP	Fc fragment of IgG binding protein	Extracellular Space	other
2.53E-20	ANKRD36C	ANKRD36C	ankyrin repeat domain 36C	Other	other
5.34E-20	CSTA	CSTA	cystatin A	Cytoplasm	other
1.77E-19	CD9	CD9	CD9 molecule	Plasma Membrane	other
5.46E-19	GSN	GSN	gelsolin	Extracellular Space	other
3.30E-17	CD44	CD44	CD44 molecule (Indian blood group)	Plasma Membrane	other
1.05E-15	SPINK5	SPINK5	"serine peptidase inhibitor, Kazal type 5"	Extracellular Space	other
1.73E-15	SERPINB10	SERPINB10	serpin family B member 10	Cytoplasm	other
1.00E-14	TSPAN8	TSPAN8	tetraspanin 8	Plasma Membrane	other
2.44E-13	COLCA1	COLCA1	colorectal cancer associated 1	Other	other
4.14E-13	TMSB10P1	TMSB10P1	thymosin beta 10 pseudogene 1	Other	other
6.20E-13	TMSB10	TMSB10/TMSB4X	thymosin beta 4 X-linked	Cytoplasm	other
1.21E-12	NAALADL2	NAALADL2	N-acetylated alpha-linked acidic dipeptidase like 2	Nucleus	other
1.78E-12	CMYA5	CMYA5	cardiomyopathy associated 5	Other	other
1.47E-11	SERPINB4	SERPINB4	serpin family B member 4	Cytoplasm	other
4.28E-11	DPY19L1P1	DPY19L1P1	DPY19L1 pseudogene 1	Other	other
4.38E-11	WFDC2	WFDC2	WAP four-disulfide core domain 2	Extracellular Space	other
4.37E-10	SERPINB3	SERPINB3	serpin family B member 3	Cytoplasm	other
2.48E-09	S100P	S100P	S100 calcium binding protein P	Cytoplasm	other
5.52E-09	FETUB	FETUB	fetuin B	Extracellular Space	other
1.11E-08	LINC01994	LINC01994	long intergenic non-protein coding RNA 1994	Other	other
1.64E-08	NHS	NHS	NHS actin remodeling regulator	Nucleus	other
2.44E-08	ATRNL1	ATRNL1	attractin like 1	Other	other
5.93E-08	PLS1	PLS1	plastin 1	Plasma Membrane	other
5.93E-08	TSHZ2	TSHZ2	teashirt zinc finger homeobox 2	Other	other
8.38E-08	ANKRD36	ANKRD36	ankyrin repeat domain 36	Other	other
8.60E-08	ANKRD36B	ANKRD36B	ankyrin repeat domain 36B	Extracellular Space	other
2.30E-07	LINC02006	LINC02006	long intergenic non-protein coding RNA 2006	Other	other
2.34E-07	MUC16	MUC16	"mucin 16, cell surface associated"	Cytoplasm	other
4.57E-07	TMTC3	TMTC3	transmembrane and tetratricopeptide repeat containing 3	Cytoplasm	other
4.91E-07	WDFY2	WDFY2	WD repeat and FYVE domain containing 2	Cytoplasm	other
5.08E-07	S100A2	S100A2	S100 calcium binding protein A2	Nucleus	other
5.24E-07	FAM13A	FAM13A	family with sequence similarity 13 member A	Cytoplasm	other
5.37E-07	CDH26	CDH26	cadherin 26	Plasma Membrane	other
6.34E-07	FAM126A	FAM126A	family with sequence similarity 126 member A	Cytoplasm	other
1.18E-06	GAPDHP65	GAPDHP65	glyceraldehyde 3 phosphate dehydrogenase pseudogene 65	Other	other
1.54E-06	DENND4A	DENND4A	DENN domain containing 4A	Nucleus	other
2.88E-06	GRAMD2B	GRAMD2B	GRAM domain containing 2B	Extracellular Space	other
5.15E-06	SSFA2	ITPRID2	ITPR interacting domain containing 2	Plasma Membrane	other
5.92E-06	ANK3	ANK3	ankyrin 3	Plasma Membrane	other
9.26E-06	ERBIN	ERBIN	erbb2 interacting protein	Cytoplasm	other
1.33E-05	SIDT1	SIDT1	SID1 transmembrane family member 1	Other	other
1.48E-05	ZNF385D	ZNF385D	zinc finger protein 385D	Nucleus	other
1.98E-05	NHSL1	NHSL1	NHS like 1	Other	other
2.64E-05	DOCK8	DOCK8	dedicator of cytokinesis 8	Cytoplasm	other
3.00E-05	LRMP	LRMP	lymphoid restricted membrane protein	Cytoplasm	other
3.14E-05	POSTN	POSTN	periostin	Extracellular Space	other
3.81E-05	PLEKHA5	PLEKHA5	pleckstrin homology domain containing A5	Cytoplasm	other
3.84E-05	EMC3	EMC3	ER membrane protein complex subunit 3	Nucleus	other
5.20E-05	CHL1	CHL1	cell adhesion molecule L1 like	Plasma Membrane	other
9.16E-05	HMCN1	HMCN1	hemicentin 1	Extracellular Space	other
1.15E-04	ITGB8	ITGB8	integrin subunit beta 8	Plasma Membrane	other
1.23E-04	MAP1B	MAP1B	microtubule associated protein 1B	Cytoplasm	other
1.33E-04	CCDC18-AS1	CCDC18-AS1	CCDC18 antisense RNA 1	Other	other
1.65E-04	LINC00342	LINC00342	long intergenic non-protein coding RNA 342	Other	other
2.31E-04	PRELID2	PRELID2	PRELI domain containing 2	Cytoplasm	other
2.33E-04	S100A9	S100A9	S100 calcium binding protein A9	Cytoplasm	other
2.52E-04	RNU6-955P	RNU6-955P	"RNA, U6 small nuclear 955, pseudogene"	Other	other
3.06E-04	ADAMTSL3	ADAMTSL3	ADAMTS like 3	Other	other
3.30E-04	ERMP1	ERMP1	endoplasmic reticulum metallopeptidase 1	Cytoplasm	other
3.30E-04	S100A8	S100A8	S100 calcium binding protein A8	Cytoplasm	other
3.31E-04	LINC01344	LINC01344	long intergenic non-protein coding RNA 1344	Other	other
3.39E-04	HOMER2	HOMER2	homer scaffold protein 2	Plasma Membrane	other
3.46E-04	LINC00511	LINC00511	long intergenic non-protein coding RNA 511	Other	other
3.69E-04	PLEKHS1	PLEKHS1	pleckstrin homology domain containing S1	Other	other
4.79E-04	OR2A1-AS1	OR2A1-AS1	OR2A1 antisense RNA 1	Other	other
4.80E-04	LRRC31	LRRC31	leucine rich repeat containing 31	Other	other
4.87E-04	RIMS1	RIMS1	regulating synaptic membrane exocytosis 1	Plasma Membrane	other
5.86E-04	SERPINB6	SERPINB6	serpin family B member 6	Cytoplasm	other
6.15E-04	SH2D1B	SH2D1B	SH2 domain containing 1B	Cytoplasm	other
6.64E-04	DIAPH2	DIAPH2	diaphanous related formin 2	Cytoplasm	other
6.69E-04	GAPDHP40	GAPDHP40	glyceraldehyde 3 phosphate dehydrogenase pseudogene 40	Other	other
7.73E-04	ALCAM	ALCAM	activated leukocyte cell adhesion molecule	Plasma Membrane	other
7.73E-04	CDC42EP5	CDC42EP5	CDC42 effector protein 5	Cytoplasm	other
8.16E-04	KIAA0753	KIAA0753	KIAA0753	Cytoplasm	other
8.68E-04	CMSS1	CMSS1	cms1 ribosomal small subunit homolog (yeast)	Other	other
9.22E-04	EML4	EML4	echinoderm microtubule associated protein like 4	Cytoplasm	other
9.46E-04	NEDD9	NEDD9	"neural precursor cell expressed, developmentally down-regulated 9"	Nucleus	other
1.07E-03	CECR2	CECR2	"CECR2, histone acetyl-lysine reader"	Nucleus	other
1.07E-03	TSPAN13	TSPAN13	tetraspanin 13	Plasma Membrane	other
1.12E-03	C14orf37	ARMH4	armadillo-like helical domain containing 4	Extracellular Space	other
1.30E-03	FAM114A1	FAM114A1	family with sequence similarity 114 member A1	Extracellular Space	other
1.52E-03	FYB2	FYB2	FYN binding protein 2	Plasma Membrane	other
1.65E-03	RBM47	RBM47	RNA binding motif protein 47	Nucleus	other
1.75E-03	TMC5	TMC5	transmembrane channel like 5	Cytoplasm	other
1.97E-03	RBMX	RBMX	RNA binding motif protein X-linked	Nucleus	other
2.11E-03	FAM214A	FAM214A	family with sequence similarity 214 member A	Other	other
2.18E-03	WFDC21P	WFDC21P	"WAP four-disulfide core domain 21, pseudogene"	Other	other
2.26E-03	PRB1	PRB1/PRB2	proline rich protein BstNI subfamily 2	Other	other
2.30E-03	APPL2	APPL2	"adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2"	Cytoplasm	other
2.39E-03	STN1	STN1	"STN1, CST complex subunit"	Nucleus	other
2.89E-03	HNRNPA1P52	HNRNPA1P52	heterogeneous nuclear ribonucleoprotein A1 pseudogene 52	Other	other
2.98E-03	GAPDHP1	GAPDHP1	glyceraldehyde-3-phosphate dehydrogenase pseudogene 1	Other	other
2.98E-03	SCIN	SCIN	scinderin	Cytoplasm	other
3.04E-03	FAM162A	FAM162A	family with sequence similarity 162 member A	Cytoplasm	other
3.25E-03	LIMS1	LIMS1	LIM zinc finger domain containing 1	Plasma Membrane	other
3.80E-03	PLAC8	PLAC8	placenta specific 8	Nucleus	other
4.14E-03	TTC6	TTC6	tetratricopeptide repeat domain 6	Other	other
4.45E-03	EPPK1	EPPK1	epiplakin 1	Cytoplasm	other
4.63E-03	CHODL	CHODL	chondrolectin	Plasma Membrane	other
4.78E-03	PRICKLE1	PRICKLE1	prickle planar cell polarity protein 1	Nucleus	other
4.93E-03	FAM133DP	FAM133DP	"family with sequence similarity 133, member A pseudogene"	Other	other
4.94E-03	MUC4	MUC4	"mucin 4, cell surface associated"	Plasma Membrane	other
5.07E-03	TTC41P	TTC41P	"tetratricopeptide repeat domain 41, pseudogene"	Other	other
5.13E-03	APCDD1	APCDD1	APC down-regulated 1	Plasma Membrane	other
5.15E-03	CCDC125	CCDC125	coiled-coil domain containing 125	Cytoplasm	other
5.36E-03	A2ML1	A2ML1	alpha-2-macroglobulin like 1	Cytoplasm	other
5.47E-03	SIPA1L1	SIPA1L1	signal induced proliferation associated 1 like 1	Cytoplasm	other
6.08E-03	MTUS1	MTUS1	microtubule associated scaffold protein 1	Extracellular Space	other
6.08E-03	SLC16A9	SLC16A9	solute carrier family 16 member 9	Other	other
6.82E-03	ARFGEF3	ARFGEF3	ARFGEF family member 3	Other	other
7.02E-03	EPB41L4A	EPB41L4A	erythrocyte membrane protein band 4.1 like 4A	Extracellular Space	other
7.15E-03	CYP2B7P	CYP2B7P	"cytochrome P450 family 2 subfamily B member 7, pseudogene"	Other	other
7.60E-03	KRT4	KRT4	keratin 4	Cytoplasm	other
7.74E-03	TPM4	TPM4	tropomyosin 4	Cytoplasm	other
8.27E-03	SERPINH1	SERPINH1	serpin family H member 1	Extracellular Space	other
8.33E-03	C1orf141	C1orf141	chromosome 1 open reading frame 141	Other	other
8.49E-03	ANKRD30BL	ANKRD30BL	ankyrin repeat domain 30B like	Other	other
8.49E-03	HSPB11	HSPB11	heat shock protein family B (small) member 11	Extracellular Space	other
8.82E-03	FBXO34	FBXO34	F-box protein 34	Other	other
9.16E-03	FMO6P	FMO6P	flavin containing monooxygenase 6 pseudogene	Cytoplasm	other
9.17E-03	LYPD6B	LYPD6B	LY6/PLAUR domain containing 6B	Other	other
9.69E-03	GLCCI1	GLCCI1	glucocorticoid induced 1	Cytoplasm	other
1.01E-02	LDLRAD3	LDLRAD3	low density lipoprotein receptor class A domain containing 3	Plasma Membrane	other
1.02E-02	LGALS8	LGALS8	galectin 8	Extracellular Space	other
1.02E-02	PALMD	PALMD	palmdelphin	Cytoplasm	other
1.03E-02	PARVA	PARVA	parvin alpha	Cytoplasm	other
1.05E-02	WDR74	WDR74	WD repeat domain 74	Nucleus	other
1.11E-02	SYNGR2	SYNGR2	synaptogyrin 2	Cytoplasm	other
1.16E-02	SESTD1	SESTD1	SEC14 and spectrin domain containing 1	Extracellular Space	other
1.17E-02	NDUFAF3	NDUFAF3	NADH:ubiquinone oxidoreductase complex assembly factor 3	Nucleus	other
1.20E-02	KRT13	KRT13	keratin 13	Cytoplasm	other
1.31E-02	FTLP3	FTLP3	ferritin light chain pseudogene 3	Other	other
1.50E-02	TSPAN3	TSPAN3	tetraspanin 3	Plasma Membrane	other
1.57E-02	SPAG1	SPAG1	sperm associated antigen 1	Cytoplasm	other
1.58E-02	LGALS7	LGALS7/LGALS7B	galectin 7	Extracellular Space	other
1.66E-02	AHNAK	AHNAK	AHNAK nucleoprotein	Nucleus	other
1.66E-02	LINC01376	LINC01376	long intergenic non-protein coding RNA 1376	Other	other
1.66E-02	SORBS2	SORBS2	sorbin and SH3 domain containing 2	Plasma Membrane	other
1.66E-02	VWF	VWF	von Willebrand factor	Extracellular Space	other
1.74E-02	ZFAS1	ZFAS1	ZNFX1 antisense RNA 1	Other	other
1.78E-02	MIR205HG	MIR205HG	MIR205 host gene	Other	other
1.82E-02	LRRN1	LRRN1	leucine rich repeat neuronal 1	Other	other
1.83E-02	SMAP1	SMAP1	small ArfGAP 1	Cytoplasm	other
1.88E-02	PSME4	PSME4	proteasome activator subunit 4	Cytoplasm	other
1.88E-02	SDK1	SDK1	sidekick cell adhesion molecule 1	Plasma Membrane	other
1.90E-02	RBM43	RBM43	RNA binding motif protein 43	Other	other
1.91E-02	MAP1A	MAP1A	microtubule associated protein 1A	Cytoplasm	other
1.99E-02	FAM98C	FAM98C	family with sequence similarity 98 member C	Other	other
2.00E-02	EZR	EZR	ezrin	Plasma Membrane	other
2.11E-02	DAPP1	DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1	Cytoplasm	other
2.17E-02	TMTC2	TMTC2	transmembrane and tetratricopeptide repeat containing 2	Cytoplasm	other
2.23E-02	H2AFV	H2AFV	H2A histone family member V	Nucleus	other
2.43E-02	DYNC1LI1	DYNC1LI1	dynein cytoplasmic 1 light intermediate chain 1	Cytoplasm	other
2.43E-02	MT1P3	MT1P3	metallothionein 1 pseudogene 3	Other	other
2.43E-02	TMEM184A	TMEM184A	transmembrane protein 184A	Cytoplasm	other
2.47E-02	APOL2	APOL2	apolipoprotein L2	Cytoplasm	other
2.59E-02	SRSF11	SRSF11	serine and arginine rich splicing factor 11	Nucleus	other
2.61E-02	TTC9C	TTC9C	tetratricopeptide repeat domain 9C	Other	other
2.64E-02	CLASP1	CLASP1	cytoplasmic linker associated protein 1	Cytoplasm	other
2.64E-02	CWH43	CWH43	cell wall biogenesis 43 C-terminal homolog	Other	other
2.64E-02	LINC01889	LINC01889	 	Other	other
2.64E-02	PKP4-AS1	PKP4-AS1	PKP4 antisense RNA 1	Other	other
2.80E-02	MCTP1	MCTP1	multiple C2 and transmembrane domain containing 1	Cytoplasm	other
2.80E-02	WNT5B	WNT5B	Wnt family member 5B	Extracellular Space	other
2.96E-02	WDR49	WDR49	WD repeat domain 49	Other	other
2.97E-02	FRAS1	FRAS1	Fraser extracellular matrix complex subunit 1	Extracellular Space	other
3.03E-02	FOCAD	FOCAD	focadhesin	Plasma Membrane	other
3.14E-02	MTSS1	MTSS1	"MTSS1, I-BAR domain containing"	Cytoplasm	other
3.16E-02	PHLDB2	PHLDB2	pleckstrin homology like domain family B member 2	Cytoplasm	other
3.20E-02	CROCC	CROCC	"ciliary rootlet coiled-coil, rootletin"	Plasma Membrane	other
3.20E-02	LINC-PINT	LINC-PINT	"long intergenic non-protein coding RNA, p53 induced transcript"	Other	other
3.25E-02	SCCPDH	SCCPDH	saccharopine dehydrogenase (putative)	Cytoplasm	other
3.32E-02	KRT7	KRT7	keratin 7	Cytoplasm	other
3.32E-02	LURAP1	LURAP1	leucine rich adaptor protein 1	Cytoplasm	other
3.36E-02	CCDC170	CCDC170	coiled-coil domain containing 170	Extracellular Space	other
3.42E-02	DEPTOR	DEPTOR	DEP domain containing MTOR interacting protein	Cytoplasm	other
3.42E-02	MROH1	MROH1	maestro heat like repeat family member 1	Other	other
3.43E-02	EPCAM	EPCAM	epithelial cell adhesion molecule	Plasma Membrane	other
3.45E-02	CMIP	CMIP	c-Maf inducing protein	Cytoplasm	other
3.54E-02	LHFPL6	LHFPL6	LHFPL tetraspan subfamily member 6	Other	other
3.70E-02	HPCAL1	HPCAL1	hippocalcin like 1	Cytoplasm	other
3.72E-02	BCAS3	BCAS3	"BCAS3, microtubule associated cell migration factor"	Nucleus	other
3.91E-02	CDH1	CDH1	cadherin 1	Plasma Membrane	other
