FDR	ID	Symbol	EntrezGeneName	Location	Type
4.29E-03	GCLM	GCLM	glutamate-cysteine ligase modifier subunit	Cytoplasm	enzyme
4.74E-03	RAN	RAN	"RAN, member RAS oncogene family"	Nucleus	enzyme
5.28E-03	USP53	USP53	ubiquitin specific peptidase 53	Extracellular Space	enzyme
5.73E-03	DSE	DSE	dermatan sulfate epimerase	Cytoplasm	enzyme
6.53E-03	DPYSL3	DPYSL3	dihydropyrimidinase like 3	Cytoplasm	enzyme
7.13E-03	SULT1A1	SULT1A1	sulfotransferase family 1A member 1	Cytoplasm	enzyme
7.14E-03	MAOA	MAOA	monoamine oxidase A	Cytoplasm	enzyme
9.15E-03	PRIM2	PRIM2	DNA primase subunit 2	Nucleus	enzyme
1.24E-02	DDX5	DDX5	DEAD-box helicase 5	Nucleus	enzyme
1.44E-02	HS3ST1	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1	Cytoplasm	enzyme
1.67E-02	BBOX1	BBOX1	gamma-butyrobetaine hydroxylase 1	Cytoplasm	enzyme
1.69E-02	GSTM3	GSTM3	glutathione S-transferase mu 3	Cytoplasm	enzyme
1.79E-02	RAP1A	RAP1A	"RAP1A, member of RAS oncogene family"	Cytoplasm	enzyme
1.94E-02	AADAC	AADAC	arylacetamide deacetylase	Cytoplasm	enzyme
1.95E-02	PCYT1B	PCYT1B	"phosphate cytidylyltransferase 1, choline, beta"	Cytoplasm	enzyme
2.01E-02	COQ6	COQ6	"coenzyme Q6, monooxygenase"	Cytoplasm	enzyme
2.04E-02	AKR1C1	AKR1C1/AKR1C2	aldo-keto reductase family 1 member C2	Cytoplasm	enzyme
2.04E-02	UBE2Z	UBE2Z	ubiquitin conjugating enzyme E2 Z	Nucleus	enzyme
2.07E-02	CD274	CD274	CD274 molecule	Plasma Membrane	enzyme
2.10E-02	GCDH	GCDH	glutaryl-CoA dehydrogenase	Cytoplasm	enzyme
2.22E-02	RDH10	RDH10	retinol dehydrogenase 10	Nucleus	enzyme
2.28E-02	ATAT1	ATAT1	alpha tubulin acetyltransferase 1	Cytoplasm	enzyme
2.35E-02	RNF10	RNF10	ring finger protein 10	Cytoplasm	enzyme
2.41E-02	RND3	RND3	Rho family GTPase 3	Cytoplasm	enzyme
2.43E-02	KIF3A	KIF3A	kinesin family member 3A	Cytoplasm	enzyme
2.44E-02	KYAT1	KYAT1	kynurenine aminotransferase 1	Cytoplasm	enzyme
2.56E-02	FKBP1B	FKBP1B	FK506 binding protein 1B	Cytoplasm	enzyme
2.61E-02	ACAA1	ACAA1	acetyl-CoA acyltransferase 1	Cytoplasm	enzyme
2.68E-02	RAC1	RAC1	Rac family small GTPase 1	Plasma Membrane	enzyme
2.69E-02	ASS1	ASS1	argininosuccinate synthase 1	Cytoplasm	enzyme
2.76E-02	COQ2	COQ2	"coenzyme Q2, polyprenyltransferase"	Cytoplasm	enzyme
2.76E-02	DHRS3	DHRS3	dehydrogenase/reductase 3	Cytoplasm	enzyme
2.88E-02	TM7SF2	TM7SF2	transmembrane 7 superfamily member 2	Cytoplasm	enzyme
2.97E-02	GNPNAT1	GNPNAT1	glucosamine-phosphate N-acetyltransferase 1	Cytoplasm	enzyme
3.10E-02	RHOC	RHOC	ras homolog family member C	Plasma Membrane	enzyme
3.24E-02	GALNT1	GALNT1	polypeptide N-acetylgalactosaminyltransferase 1	Cytoplasm	enzyme
3.37E-02	ALDH1A1	ALDH1A1	aldehyde dehydrogenase 1 family member A1	Cytoplasm	enzyme
3.51E-02	PDE7A	PDE7A	phosphodiesterase 7A	Cytoplasm	enzyme
3.51E-02	UBE3C	UBE3C	ubiquitin protein ligase E3C	Nucleus	enzyme
3.79E-02	STEAP4	STEAP4	STEAP4 metalloreductase	Plasma Membrane	enzyme
3.93E-02	RAP2A	RAP2A	"RAP2A, member of RAS oncogene family"	Plasma Membrane	enzyme
4.14E-02	BCKDHB	BCKDHB	branched chain keto acid dehydrogenase E1 subunit beta	Cytoplasm	enzyme
4.14E-02	GPX8	GPX8	glutathione peroxidase 8 (putative)	Cytoplasm	enzyme
4.14E-02	KIF20B	KIF20B	kinesin family member 20B	Nucleus	enzyme
4.34E-02	PISD	PISD	phosphatidylserine decarboxylase	Cytoplasm	enzyme
4.43E-02	GNA12	GNA12	G protein subunit alpha 12	Plasma Membrane	enzyme
4.45E-02	VNN1	VNN1	vanin 1	Plasma Membrane	enzyme
4.51E-02	RAB6A	RAB6A	"RAB6A, member RAS oncogene family"	Cytoplasm	enzyme
4.91E-02	HACD4	HACD4	3-hydroxyacyl-CoA dehydratase 4	Cytoplasm	enzyme
4.91E-02	THAP9	THAP9	THAP domain containing 9	Other	enzyme
7.07E-03	ADGRF1	ADGRF1	adhesion G protein-coupled receptor F1	Plasma Membrane	G-protein coupled receptor
3.45E-02	ADGRL4	ADGRL4	adhesion G protein-coupled receptor L4	Plasma Membrane	G-protein coupled receptor
4.57E-02	ADGRA3	ADGRA3	adhesion G protein-coupled receptor A3	Plasma Membrane	G-protein coupled receptor
7.93E-07	CTGF	CTGF	connective tissue growth factor	Extracellular Space	growth factor
5.57E-03	PTN	PTN	pleiotrophin	Extracellular Space	growth factor
8.78E-03	FGF13	FGF13	fibroblast growth factor 13	Extracellular Space	growth factor
2.86E-02	GDF15	GDF15	growth differentiation factor 15	Extracellular Space	growth factor
4.35E-02	BMP2	BMP2	bone morphogenetic protein 2	Extracellular Space	growth factor
9.11E-06	ANO1	ANO1	anoctamin 1	Plasma Membrane	ion channel
9.11E-06	CLCA4	CLCA4	chloride channel accessory 4	Plasma Membrane	ion channel
3.73E-05	TMC1	TMC1	transmembrane channel like 1	Plasma Membrane	ion channel
2.95E-03	KCNMA1	KCNMA1	potassium calcium-activated channel subfamily M alpha 1	Plasma Membrane	ion channel
7.14E-03	KCNK6	KCNK6	potassium two pore domain channel subfamily K member 6	Plasma Membrane	ion channel
2.35E-02	KCNH5	KCNH5	potassium voltage-gated channel subfamily H member 5	Plasma Membrane	ion channel
2.56E-02	KCNJ16	KCNJ16	potassium voltage-gated channel subfamily J member 16	Plasma Membrane	ion channel
2.71E-02	KCTD10	KCTD10	potassium channel tetramerization domain containing 10	Nucleus	ion channel
4.14E-02	KCNMB4	KCNMB4	potassium calcium-activated channel subfamily M regulatory beta subunit 4	Plasma Membrane	ion channel
7.68E-42	SGK1	SGK1	serum/glucocorticoid regulated kinase 1	Cytoplasm	kinase
1.65E-11	CAMK1D	CAMK1D	calcium/calmodulin dependent protein kinase ID	Cytoplasm	kinase
7.19E-05	BMPR1B	BMPR1B	bone morphogenetic protein receptor type 1B	Plasma Membrane	kinase
1.23E-04	CPNE3	CPNE3	copine 3	Cytoplasm	kinase
2.16E-04	STK38L	STK38L	serine/threonine kinase 38 like	Cytoplasm	kinase
4.63E-04	SLK	SLK	STE20 like kinase	Nucleus	kinase
5.12E-04	MAGI3	MAGI3	"membrane associated guanylate kinase, WW and PDZ domain containing 3"	Cytoplasm	kinase
1.18E-03	MET	MET	"MET proto-oncogene, receptor tyrosine kinase"	Plasma Membrane	kinase
2.43E-03	CDKN1B	CDKN1B	cyclin dependent kinase inhibitor 1B	Nucleus	kinase
2.85E-03	CHKA	CHKA	choline kinase alpha	Cytoplasm	kinase
3.78E-03	TJP2	TJP2	tight junction protein 2	Plasma Membrane	kinase
6.08E-03	DAPK1	DAPK1	death associated protein kinase 1	Cytoplasm	kinase
8.23E-03	LYN	LYN	"LYN proto-oncogene, Src family tyrosine kinase"	Cytoplasm	kinase
1.87E-02	DOK1	DOK1	docking protein 1	Plasma Membrane	kinase
2.33E-02	NTRK2	NTRK2	neurotrophic receptor tyrosine kinase 2	Plasma Membrane	kinase
3.57E-02	HK2	HK2	hexokinase 2	Cytoplasm	kinase
4.23E-02	DCLK1	DCLK1	doublecortin like kinase 1	Plasma Membrane	kinase
4.65E-02	DLG1	DLG1	discs large MAGUK scaffold protein 1	Plasma Membrane	kinase
4.65E-02	MAPK8	MAPK8	mitogen-activated protein kinase 8	Cytoplasm	kinase
4.88E-02	PDK4	PDK4	pyruvate dehydrogenase kinase 4	Cytoplasm	kinase
4.92E-32	CAPN14	CAPN14	calpain 14	Other	other
5.69E-29	TMSB10P1	TMSB10P1	thymosin beta 10 pseudogene 1	Other	other
5.41E-28	GSN	GSN	gelsolin	Extracellular Space	other
1.11E-27	SERPINB4	SERPINB4	serpin family B member 4	Cytoplasm	other
7.89E-24	CD9	CD9	CD9 molecule	Plasma Membrane	other
4.08E-23	CD44	CD44	CD44 molecule (Indian blood group)	Plasma Membrane	other
7.91E-23	CSTA	CSTA	cystatin A	Cytoplasm	other
4.93E-22	TMSB10	TMSB10/TMSB4X	thymosin beta 4 X-linked	Cytoplasm	other
2.49E-21	WFDC2	WFDC2	WAP four-disulfide core domain 2	Extracellular Space	other
1.10E-19	SERPINB3	SERPINB3	serpin family B member 3	Cytoplasm	other
1.99E-19	TSPAN8	TSPAN8	tetraspanin 8	Plasma Membrane	other
7.39E-19	SERPINB10	SERPINB10	serpin family B member 10	Cytoplasm	other
1.22E-18	FCGBP	FCGBP	Fc fragment of IgG binding protein	Extracellular Space	other
2.19E-17	CMYA5	CMYA5	cardiomyopathy associated 5	Other	other
1.81E-16	FETUB	FETUB	fetuin B	Extracellular Space	other
1.93E-15	LGALS7	LGALS7/LGALS7B	galectin 7	Extracellular Space	other
5.10E-15	S100P	S100P	S100 calcium binding protein P	Cytoplasm	other
5.41E-13	S100A2	S100A2	S100 calcium binding protein A2	Nucleus	other
7.26E-13	NEAT1	NEAT1	nuclear paraspeckle assembly transcript 1	Other	other
1.41E-12	ITLN1	ITLN1	intelectin 1	Plasma Membrane	other
6.32E-12	EEF1A1P11	EEF1A1P11	eukaryotic translation elongation factor 1 alpha 1 pseudogene 11	Other	other
3.38E-11	EEF1A1P5	EEF1A1P5	eukaryotic translation elongation factor 1 alpha 1 pseudogene 5	Extracellular Space	other
1.87E-10	COLCA1	COLCA1	colorectal cancer associated 1	Other	other
6.19E-10	TMSB10P2	TMSB10P2	thymosin beta 10 pseudogene 2	Other	other
8.13E-10	ANKRD30BL	ANKRD30BL	ankyrin repeat domain 30B like	Other	other
1.42E-08	NHSL1	NHSL1	NHS like 1	Other	other
5.36E-08	S100A8	S100A8	S100 calcium binding protein A8	Cytoplasm	other
6.34E-08	CDH26	CDH26	cadherin 26	Plasma Membrane	other
1.76E-07	POSTN	POSTN	periostin	Extracellular Space	other
2.35E-07	SPINK5	SPINK5	"serine peptidase inhibitor, Kazal type 5"	Extracellular Space	other
4.49E-07	MUC16	MUC16	"mucin 16, cell surface associated"	Cytoplasm	other
4.62E-07	ANKRD36C	ANKRD36C	ankyrin repeat domain 36C	Other	other
8.93E-07	LINC01994	LINC01994	long intergenic non-protein coding RNA 1994	Other	other
1.05E-06	PLS1	PLS1	plastin 1	Plasma Membrane	other
1.09E-06	NHS	NHS	NHS actin remodeling regulator	Nucleus	other
1.22E-06	TMSB4XP8	TMSB4XP8	TMSB4X pseudogene 8	Other	other
1.41E-06	FAM126A	FAM126A	family with sequence similarity 126 member A	Cytoplasm	other
1.55E-06	DENND4A	DENND4A	DENN domain containing 4A	Nucleus	other
2.79E-06	S100A9	S100A9	S100 calcium binding protein A9	Cytoplasm	other
2.79E-06	SERPINB2	SERPINB2	serpin family B member 2	Extracellular Space	other
9.11E-06	TMSB4XP6	TMSB4XP6	TMSB4X pseudogene 6	Other	other
1.34E-05	SERPINB6	SERPINB6	serpin family B member 6	Cytoplasm	other
1.48E-05	GADD45G	GADD45G	growth arrest and DNA damage inducible gamma	Nucleus	other
1.75E-05	ARHGEF28	ARHGEF28	Rho guanine nucleotide exchange factor 28	Cytoplasm	other
1.89E-05	LINC01133	LINC01133	long intergenic non-protein coding RNA 1133	Other	other
2.06E-05	TMTC3	TMTC3	transmembrane and tetratricopeptide repeat containing 3	Cytoplasm	other
2.07E-05	TSPAN3	TSPAN3	tetraspanin 3	Plasma Membrane	other
2.33E-05	BDNF-AS	BDNF-AS	BDNF antisense RNA	Other	other
2.59E-05	TMC5	TMC5	transmembrane channel like 5	Cytoplasm	other
2.68E-05	EEF1A1P12	EEF1A1P12	eukaryotic translation elongation factor 1 alpha 1 pseudogene 12	Other	other
3.13E-05	EEF1A1P13	EEF1A1P13	eukaryotic translation elongation factor 1 alpha 1 pseudogene 13	Other	other
3.13E-05	EEF1A1P9	EEF1A1P9	eukaryotic translation elongation factor 1 alpha 1 pseudogene 9	Other	other
3.44E-05	MIR205HG	MIR205HG	MIR205 host gene	Other	other
3.79E-05	EPS15	EPS15	epidermal growth factor receptor pathway substrate 15	Cytoplasm	other
4.62E-05	IGFBP3	IGFBP3	insulin like growth factor binding protein 3	Extracellular Space	other
9.05E-05	SAXO2	SAXO2	stabilizer of axonemal microtubules 2	Nucleus	other
9.79E-05	KRT13	KRT13	keratin 13	Cytoplasm	other
1.03E-04	CLASP1	CLASP1	cytoplasmic linker associated protein 1	Cytoplasm	other
1.21E-04	SYNGR2	SYNGR2	synaptogyrin 2	Cytoplasm	other
1.46E-04	PLEKHA5	PLEKHA5	pleckstrin homology domain containing A5	Cytoplasm	other
1.46E-04	PRB1	PRB1/PRB2	proline rich protein BstNI subfamily 2	Other	other
1.62E-04	KRT5	KRT5	keratin 5	Cytoplasm	other
1.85E-04	POC1B-AS1	POC1B-AS1	 	Other	other
1.98E-04	ATRNL1	ATRNL1	attractin like 1	Other	other
2.10E-04	LINC02006	LINC02006	long intergenic non-protein coding RNA 2006	Other	other
2.48E-04	ARHGAP18	ARHGAP18	Rho GTPase activating protein 18	Cytoplasm	other
3.06E-04	GLULP4	GLULP4	glutamate-ammonia ligase pseudogene 4	Other	other
3.14E-04	CADM2-AS1	CADM2-AS1	CADM2 antisense RNA 1	Other	other
4.58E-04	CYP2B7P	CYP2B7P	"cytochrome P450 family 2 subfamily B member 7, pseudogene"	Other	other
5.25E-04	LRMP	LRMP	lymphoid restricted membrane protein	Cytoplasm	other
6.68E-04	SIDT1	SIDT1	SID1 transmembrane family member 1	Other	other
6.68E-04	TRAK1	TRAK1	trafficking kinesin protein 1	Nucleus	other
7.23E-04	MSMB	MSMB	microseminoprotein beta	Extracellular Space	other
1.08E-03	RNU6-6P	RNU6-6P	"RNA, U6 small nuclear 6, pseudogene"	Nucleus	other
1.21E-03	WFDC21P	WFDC21P	"WAP four-disulfide core domain 21, pseudogene"	Other	other
1.39E-03	CDC42EP5	CDC42EP5	CDC42 effector protein 5	Cytoplasm	other
1.95E-03	TTC9	TTC9	tetratricopeptide repeat domain 9	Extracellular Space	other
2.08E-03	EMC3	EMC3	ER membrane protein complex subunit 3	Nucleus	other
2.42E-03	SCCPDH	SCCPDH	saccharopine dehydrogenase (putative)	Cytoplasm	other
2.43E-03	BOD1	BOD1	biorientation of chromosomes in cell division 1	Nucleus	other
2.48E-03	PRELID2	PRELID2	PRELI domain containing 2	Cytoplasm	other
2.50E-03	NETO1	NETO1	neuropilin and tolloid like 1	Extracellular Space	other
2.81E-03	SCIN	SCIN	scinderin	Cytoplasm	other
2.93E-03	ANK3	ANK3	ankyrin 3	Plasma Membrane	other
2.96E-03	PSCA	PSCA	prostate stem cell antigen	Plasma Membrane	other
3.03E-03	HNRNPA1P10	HNRNPA1P10	heterogeneous nuclear ribonucleoprotein A1 pseudogene 10	Other	other
3.14E-03	TMEM269	TMEM269	transmembrane protein 269	Other	other
3.47E-03	LINC02031	LINC02031	long intergenic non-protein coding RNA 2031	Other	other
3.60E-03	LINC01995	LINC01995	long intergenic non-protein coding RNA 1995	Other	other
3.60E-03	NCOA4P3	NCOA4P3	nuclear receptor coactivator 4 pseudogene 3	Other	other
3.64E-03	PHLDB2	PHLDB2	pleckstrin homology like domain family B member 2	Cytoplasm	other
4.17E-03	RBM47	RBM47	RNA binding motif protein 47	Nucleus	other
4.27E-03	TTC6	TTC6	tetratricopeptide repeat domain 6	Other	other
4.28E-03	FABP5P7	FABP5P7	fatty acid binding protein 5 pseudogene 7	Other	other
4.74E-03	TYW3	TYW3	tRNA-yW synthesizing protein 3 homolog	Other	other
4.84E-03	NAALADL2	NAALADL2	N-acetylated alpha-linked acidic dipeptidase like 2	Nucleus	other
4.90E-03	SNRPE	SNRPE	small nuclear ribonucleoprotein polypeptide E	Nucleus	other
6.08E-03	TSPAN13	TSPAN13	tetraspanin 13	Plasma Membrane	other
6.21E-03	TNC	TNC	tenascin C	Extracellular Space	other
6.25E-03	VWF	VWF	von Willebrand factor	Extracellular Space	other
6.33E-03	C5orf34	C5orf34	chromosome 5 open reading frame 34	Other	other
6.76E-03	SORBS2	SORBS2	sorbin and SH3 domain containing 2	Plasma Membrane	other
7.13E-03	TSHZ2	TSHZ2	teashirt zinc finger homeobox 2	Other	other
7.55E-03	SRSF3	SRSF3	serine and arginine rich splicing factor 3	Nucleus	other
7.90E-03	SNRPEP4	SNRPEP4	small nuclear ribonucleoprotein polypeptide E pseudogene 4	Other	other
8.07E-03	DPY19L1P1	DPY19L1P1	DPY19L1 pseudogene 1	Other	other
8.56E-03	EPB41	EPB41	erythrocyte membrane protein band 4.1	Plasma Membrane	other
9.02E-03	RIMS1	RIMS1	regulating synaptic membrane exocytosis 1	Plasma Membrane	other
9.11E-03	RNU6-955P	RNU6-955P	"RNA, U6 small nuclear 955, pseudogene"	Other	other
9.21E-03	MAMDC2	MAMDC2	MAM domain containing 2	Extracellular Space	other
9.66E-03	GADD45A	GADD45A	growth arrest and DNA damage inducible alpha	Nucleus	other
9.73E-03	KIAA1324	KIAA1324	KIAA1324	Plasma Membrane	other
1.01E-02	RANP1	RANP1	"RAN, member RAS oncogene family pseudogene 1"	Other	other
1.05E-02	BCL2L1	BCL2L1	BCL2 like 1	Cytoplasm	other
1.06E-02	CCP110	CCP110	centriolar coiled-coil protein 110	Cytoplasm	other
1.08E-02	LINC00866	LINC00866	long intergenic non-protein coding RNA 866	Other	other
1.26E-02	EEF1A1P17	EEF1A1P17	eukaryotic translation elongation factor 1 alpha 1 pseudogene 17	Other	other
1.28E-02	SDK1	SDK1	sidekick cell adhesion molecule 1	Plasma Membrane	other
1.29E-02	MCUB	MCUB	mitochondrial calcium uniporter dominant negative beta subunit	Cytoplasm	other
1.40E-02	CECR2	CECR2	"CECR2, histone acetyl-lysine reader"	Nucleus	other
1.48E-02	SSFA2	ITPRID2	ITPR interacting domain containing 2	Plasma Membrane	other
1.49E-02	RSU1	RSU1	Ras suppressor protein 1	Cytoplasm	other
1.53E-02	TUBA1A	TUBA1A	tubulin alpha 1a	Cytoplasm	other
1.53E-02	ZWILCH	ZWILCH	zwilch kinetochore protein	Nucleus	other
1.54E-02	TRA2A	TRA2A	transformer 2 alpha homolog	Nucleus	other
1.55E-02	ANKRD37	ANKRD37	ankyrin repeat domain 37	Cytoplasm	other
1.55E-02	EML2	EML2	echinoderm microtubule associated protein like 2	Cytoplasm	other
1.56E-02	CFAP61	CFAP61	cilia and flagella associated protein 61	Cytoplasm	other
1.62E-02	CEP57L1	CEP57L1	centrosomal protein 57 like 1	Other	other
1.65E-02	CCDC150	CCDC150	coiled-coil domain containing 150	Other	other
1.67E-02	ANXA4	ANXA4	annexin A4	Plasma Membrane	other
1.68E-02	OR2A1-AS1	OR2A1-AS1	OR2A1 antisense RNA 1	Other	other
1.78E-02	FREM2	FREM2	FRAS1 related extracellular matrix protein 2	Extracellular Space	other
1.79E-02	ERGIC1	ERGIC1	endoplasmic reticulum-golgi intermediate compartment 1	Cytoplasm	other
1.79E-02	KCTD9	KCTD9	potassium channel tetramerization domain containing 9	Other	other
1.79E-02	MTUS1	MTUS1	microtubule associated scaffold protein 1	Extracellular Space	other
1.79E-02	SNAPC3	SNAPC3	small nuclear RNA activating complex polypeptide 3	Nucleus	other
1.80E-02	SNRPEP2	SNRPEP2	small nuclear ribonucleoprotein polypeptide E pseudogene 2	Nucleus	other
1.85E-02	PLAC8	PLAC8	placenta specific 8	Nucleus	other
1.85E-02	SLC16A9	SLC16A9	solute carrier family 16 member 9	Other	other
1.86E-02	DVL3	DVL3	dishevelled segment polarity protein 3	Cytoplasm	other
1.93E-02	CALM1	CALM1 (includes others)	calmodulin 1	Cytoplasm	other
1.93E-02	CCDC59	CCDC59	coiled-coil domain containing 59	Nucleus	other
1.94E-02	HNRNPM	HNRNPM	heterogeneous nuclear ribonucleoprotein M	Nucleus	other
2.00E-02	EEF1A1P22	EEF1A1P22	eukaryotic translation elongation factor 1 alpha 1 pseudogene 22	Other	other
2.04E-02	FAM3C2	FAM3C2	FAM3C pseudogene	Other	other
2.06E-02	CCDC57	CCDC57	coiled-coil domain containing 57	Other	other
2.07E-02	PTCHD4	PTCHD4	patched domain containing 4	Other	other
2.16E-02	ARHGAP23	ARHGAP23	Rho GTPase activating protein 23	Cytoplasm	other
2.16E-02	VMO1	VMO1	vitelline membrane outer layer 1 homolog	Extracellular Space	other
2.22E-02	PLEKHA7	PLEKHA7	pleckstrin homology domain containing A7	Cytoplasm	other
2.28E-02	SNTN	SNTN	"sentan, cilia apical structure protein"	Other	other
2.30E-02	CTNNAL1	CTNNAL1	catenin alpha like 1	Plasma Membrane	other
2.33E-02	TPM3	TPM3	tropomyosin 3	Cytoplasm	other
2.38E-02	DNAJB12	DNAJB12	DnaJ heat shock protein family (Hsp40) member B12	Cytoplasm	other
2.40E-02	NEDD9	NEDD9	"neural precursor cell expressed, developmentally down-regulated 9"	Nucleus	other
2.50E-02	KIZ	KIZ	kizuna centrosomal protein	Cytoplasm	other
2.55E-02	LAMC2	LAMC2	laminin subunit gamma 2	Extracellular Space	other
2.56E-02	AHSA2	AHSA2P	"activator of HSP90 ATPase homolog 2, pseudogene"	Other	other
2.56E-02	EEF1A1P25	EEF1A1P25	eukaryotic translation elongation factor 1 alpha 1 pseudogene 25	Other	other
2.56E-02	HSPB11	HSPB11	heat shock protein family B (small) member 11	Extracellular Space	other
2.56E-02	ZC3H14	ZC3H14	zinc finger CCCH-type containing 14	Nucleus	other
2.57E-02	CCDC170	CCDC170	coiled-coil domain containing 170	Extracellular Space	other
2.58E-02	LINC01269	LINC01269	long intergenic non-protein coding RNA 1269	Other	other
2.77E-02	GAPDHP65	GAPDHP65	glyceraldehyde 3 phosphate dehydrogenase pseudogene 65	Other	other
2.97E-02	STARD7-AS1	STARD7-AS1	STARD7 antisense RNA 1	Other	other
2.99E-02	STN1	STN1	"STN1, CST complex subunit"	Nucleus	other
3.01E-02	HNRNPA1L2	HNRNPA1L2	heterogeneous nuclear ribonucleoprotein A1-like 2	Other	other
3.03E-02	APPL2	APPL2	"adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2"	Cytoplasm	other
3.10E-02	PEX11A	PEX11A	peroxisomal biogenesis factor 11 alpha	Cytoplasm	other
3.11E-02	APOL4	APOL4	apolipoprotein L4	Extracellular Space	other
3.42E-02	SRGAP1	SRGAP1	SLIT-ROBO Rho GTPase activating protein 1	Cytoplasm	other
3.47E-02	GAPDHP63	GAPDHP63	glyceraldehyde 3 phosphate dehydrogenase pseudogene 63	Other	other
3.51E-02	FANCD2	FANCD2	FA complementation group D2	Nucleus	other
3.52E-02	CCT6P1	CCT6P1	chaperonin containing TCP1 subunit 6 pseudogene 1	Other	other
3.56E-02	SMILR	SMILR	 	Other	other
3.59E-02	CLDN22	CLDN22	claudin 22	Plasma Membrane	other
3.62E-02	VANGL2	VANGL2	VANGL planar cell polarity protein 2	Plasma Membrane	other
3.64E-02	CYSTM1	CYSTM1	cysteine rich transmembrane module containing 1	Cytoplasm	other
3.64E-02	WDFY2	WDFY2	WD repeat and FYVE domain containing 2	Cytoplasm	other
3.65E-02	ZCCHC7	ZCCHC7	zinc finger CCHC-type containing 7	Nucleus	other
3.70E-02	KRT4	KRT4	keratin 4	Cytoplasm	other
3.75E-02	ARHGEF5	ARHGEF5	Rho guanine nucleotide exchange factor 5	Cytoplasm	other
3.79E-02	DAPP1	DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1	Cytoplasm	other
3.86E-02	ERH	ERH	"ERH, mRNA splicing and mitosis factor"	Nucleus	other
3.89E-02	FAM183A	FAM183A	family with sequence similarity 183 member A	Other	other
3.98E-02	LARP4	LARP4	La ribonucleoprotein domain family member 4	Cytoplasm	other
4.03E-02	THSD4-AS1	THSD4-AS1	THSD4 antisense RNA 1	Other	other
4.05E-02	IFT74	IFT74	intraflagellar transport 74	Cytoplasm	other
